0.04,1.06,67%,0,5153
0.03,1.06,85%,0,5152
0.03,1.07,79%,0,5152
0.01,1.14,87%,0,5162
0.03,1.68,75%,0,5157
0.04,1.52,72%,0,5151
0.02,1.13,87%,0,5160
0.01,1.08,84%,0,5155
0.05,1.06,87%,0,5155
0.04,1.05,82%,0,5158
0.04,1.07,79%,0,5154
0.01,1.09,85%,0,5161
0.06,1.04,85%,0,5155
0.02,1.07,83%,0,5156
0.02,1.08,85%,0,5150
0.04,1.05,87%,0,5161
0.02,1.08,85%,0,5151
0.02,1.07,87%,0,5157
0.03,1.06,85%,0,5162
0.02,1.08,85%,0,5158
