,1.2,1.6,2,2.4,2.8,3.2,3.6,,
,,,,,,,,,
Boltzman,263.6208620787,170.3484166384,169.4219012737,143.098157692,104.1226441383,85.4054455519,85.0634589434,,
,196.4617967606,147.3169641495,118.2393977642,98.5912549496,84.6393661499,74.259103775,66.1003136635,,
,337.9241554737,212.3276369572,231.6973433495,193.0593225956,136.7862548828,117.9692232609,128.4358084202,,
,265.5355783701,151.6713140011,174.414145112,149.873603344,85.6925530434,74.4474798441,66.7561043501,,
,2915.7451939273,812.9484809391,2286.3855000347,1723.9238401657,611.1947239703,343.1497180589,841.3334194116,,
,53.997640633,28.5122514183,47.8161635855,41.5201618514,24.7223527192,18.5243007441,29.0057480409,,
,,,,,,,,,
,,,,,,,,,
Cost Assignment,9.5663532257,7.2925525665,6.1664659739,5.007754755,4.3980521202,3.9955183744,3.6534616709,,
,9.3506274223,7.2149145603,5.9333457947,4.9734518528,4.3552439213,3.8987550735,3.566608429,,
,10.2291724682,7.6047332287,7.7535433769,5.054213047,4.6000986099,4.4571404457,4.252102375,,
,9.423789382,7.2632068396,5.9837557077,5.0048807859,4.3759100437,3.9320998192,3.5883511305,,
,0.1093763475,0.0130451451,0.312962755,0.0008263327,0.0052974126,0.0296297425,0.0444684933,,
,0.3307209511,0.1142153454,0.5594307419,0.0287460031,0.0727833265,0.172132921,0.2108755398,,
,,,,,,,,,
,,,,,,,,,
Face Detector,465.0349969387,374.0141895533,334.6687595606,257.7992631674,245.089342308,212.0572485209,194.5797878265,,
,366.342566967,312.5364944935,326.1733260155,186.973410368,231.6096036434,198.8144006729,174.5185861588,,
,506.9054453373,407.2412269115,348.2357370853,299.8506035805,253.7676770687,219.9697377682,203.8100237846,,
,478.7778713703,376.4417032003,330.17679739,278.5809419155,246.7234851122,215.5010498762,199.8896694183,,
,2004.6773533194,757.4108865923,79.0747832496,2425.7962933376,60.3609856808,75.3575731302,114.141734053,,
,44.7736234107,27.521098935,8.8924003087,49.2523734792,7.769233275,8.6808739842,10.6837134955,,
,,,,,,,,,
,,,,,,,,,
Text Search,44.3913730383,38.3111582518,34.3995591879,28.04032166,26.356959796,24.5735075951,23.152306366,,
,43.4598522186,36.8896787167,33.5751974583,27.1308665276,25.7505419254,24.1001098156,22.6717095375,,
,45.9815118313,39.8082945347,37.0733532906,29.4137735367,28.4596560001,25.0339295864,23.9721345901,,
,44.160017252,38.2738671303,34.0815799236,28.054194808,26.0956716537,24.5721199512,23.0133275986,,
,0.6568740065,1.4718301615,1.1104356985,0.3404780138,0.6338327102,0.0653684178,0.1524044366,,
,0.810477641,1.2131900764,1.0537721284,0.5835049389,0.7961361129,0.2556724816,0.3903901082,,
,,,,,,,,,
,,,,,,,,,
Kmean Clustering,65.2729115963,46.9058843374,36.982558012,33.1334142685,28.126056385,25.7349243402,23.3760115385,,
,57.118311882,43.7254285812,36.6796529293,31.3549740314,27.2281112671,25.0168867111,22.59328866,,
,70.5548167229,56.3859894276,37.7246317863,39.5766875744,28.9165570736,28.1109740734,24.4155740738,,
,66.6270283461,44.4043326378,36.8738856316,32.333186388,28.1061666012,25.4270745516,23.2605692148,,
,27.5945967529,22.164201468,0.102090792,5.8700047596,0.191363986,0.8570768256,0.369658379,,
,5.2530559442,4.7078871554,0.3195164972,2.4228092702,0.4374516957,0.925784438,0.6079953775,,
,,,,,,,,,
,,,,,,,,,
Running Statistics,16.941155076,15.0753554344,13.1780247688,10.6885153532,10.1727785349,9.5510387182,8.6410430193,,
,13.9659833908,13.2280600071,12.4834468365,8.9566311836,9.2901573181,8.815461874,7.3517258167,,
,19.3142461777,17.8606052399,14.1134617329,17.6882369518,11.205085516,12.1430878639,12.4034862518,,
,16.7172496319,14.9522442818,13.1007341146,9.4849010706,10.2379676104,9.3023961782,8.1964665651,,
,2.6853787716,2.1674658864,0.2622819077,7.2633513567,0.2739003637,0.8948192001,2.084511213,,
,1.6387125348,1.4722316008,0.5121346578,2.6950605479,0.5233549118,0.9459488359,1.4437836448,,
,,,,,,,,,
,,,,,,,,,
Sort,18.184623456,15.9081175566,14.1061419725,12.2461906195,11.3177559137,9.8395243645,8.6279294729,,
,15.4625577927,14.4456794262,12.5228521824,11.5897483826,10.5408945084,8.5434734821,8.0884506702,,
,19.6183514595,17.3419222832,14.8884563446,12.8318121433,12.1068069935,10.5833170414,9.4162409306,,
,18.5906671286,16.0104976892,14.4618710279,12.1970198154,11.3857034445,9.85524261,8.5706728697,,
,1.7557230511,0.869015389,0.6756739546,0.1426644375,0.2857492062,0.4066958974,0.1679777196,,
,1.3250369999,0.932209949,0.8219938896,0.3777094617,0.534555148,0.637727134,0.4098508505,,
,,,,,,,,,
,,,,,,,,,
SvmPegasos,21.7273940802,16.5108553648,13.6758512259,11.7160822868,10.169873786,9.2494116306,8.2770807505,,
,21.4920926094,16.3535625935,13.4429080486,11.5058803558,10.0912885666,9.0777361393,8.2131633759,,
,23.1158289909,16.8417320251,14.3194849491,12.1875903606,10.2900595665,9.778128624,8.4286315441,,
,21.5701255798,16.4565647841,13.5569859743,11.646314621,10.1676120758,9.1988884211,8.2438833714,,
,0.245291072,0.0234268517,0.0751032725,0.0400500866,0.003115987,0.0425182881,0.0049240435,,
,0.4952686867,0.1530583278,0.2740497629,0.2001251774,0.0558210265,0.2061996318,0.0701715295,,
,,,,,,,,,
,,,,,,,,,
SvmRank,13.5739640236,9.4316759825,7.4056837559,7.1425828934,6.7931341171,6.2392738581,5.6404765368,,
